Nome,CNPJ,Emissão,Série,Valor,Ticker,Ano
CANAL COMPANHIA DE SECURITIZAÇÃO - CRA022006BV,41.811.375/0001-19,3.0,1.0,8159.2,AGRX11,2024
CANAL COMPANHIA DE SECURITIZAÇÃO - CRA02300VY2,41.811.375/0001-19,74.0,1.0,13008693.67,AGRX11,2023
TRUE SECURITIZADORA - CRA02300E1L,12.130.744/0001-00,63.0,1.0,10495855.51,AGRX11,2023
TRUE SECURITIZADORA - CRA02200799,12.130.744/0001-00,34.0,1.0,10315514.52,AGRX11,2023
TRUE SECURITIZADORA - CRA02300A16,12.130.744/0001-00,60.0,1.0,6930050.49,AGRX11,2023
LEVERAGE COMPANHIA SECURITIZADORA - CRA02300V69,48.415.978/0001-40,2.0,1.0,6803593.21,AGRX11,2023
LEVERAGE COMPANHIA SECURITIZADORA - CRA02300V69,48.415.978/0001-40,2.0,1.0,6513012.64,AGRX11,2023
LEVERAGE COMPANHIA SECURITIZADORA - CRA02300PRU,48.415.978/0001-40,1.0,1.0,6222096.36,AGRX11,2023
TRUE SECURITIZADORA - CRA02300A16,12.130.744/0001-00,60.0,1.0,6026130.86,AGRX11,2023
TRUE SECURITIZADORA - CRA02300DQH,12.130.744/0001-00,51.0,1.0,5542131.58,AGRX11,2023
OPEA SECURITIZADORA - CRA02300CNN,02.773.542/0001-22,76.0,1.0,5012634.06,AGRX11,2023
VERT COMPANHIA SECURITIZADORA - CRA02200CT5,25.005.683/0001-09,81.0,1.0,4899135.4,AGRX11,2023
CANAL COMPANHIA DE SECURITIZAÇÃO - CRA022006BW,41.811.375/0001-19,3.0,2.0,4583478.69,AGRX11,2023
VERT COMPANHIA SECURITIZADORA - CRA022009KI,25.005.683/0001-09,79.0,1.0,4419549.54,AGRX11,2023
