Ticker,Periodo,Aluguéis,Ativo total,CRIs,Caixa,Disponibilidades,FIIs,Imóveis,Outros,Outros val. pagar,Passivo total,Patrimônio líquido,Rend. a distribuir,Renda fixa,Taxa administração,Taxa performance,Total investido,Títulos privados,Títulos públicos,Valores a receber,Venda de imóveis,Data,Ano,Mes,Dia
ABCP11,3/2019,6.77,912324.0,0.0,6.0,10451.0,0.0,894848.0,0.0,246.0,6989.0,905335.0,6.661,10445.0,81.0,0.0,894848.0,0.0,0.0,7025.0,0.0,2019-03-01,2019,3,1
ABCP11,3/2020,9.41,1044001.0,0.0,5.0,12734.0,0.0,1021481.0,0.0,1315.0,1438.0,1042563.0,37.0,12729.0,86.0,0.0,1021481.0,0.0,0.0,9786.0,0.0,2020-03-01,2020,3,1
ABCP11,3/2021,12.116,1080565.0,0.0,7.0,8778.0,0.0,1056637.0,0.0,1438.0,2844.0,1077721.0,1.317,8771.0,90.0,0.0,1056637.0,0.0,0.0,15150.0,0.0,2021-03-01,2021,3,1
ABCP11,3/2022,15.439,1129622.0,0.0,10.0,19792.0,0.0,1093309.0,0.0,1305.0,8202.0,1121420.0,6.811,19783.0,87.0,0.0,1093309.0,0.0,0.0,16521.0,0.0,2022-03-01,2022,3,1
ABCP11,3/2023,5.592,435438.0,0.0,6.0,7117.0,0.0,420946.0,0.0,1083.0,3614.0,431825.0,2.433,7111.0,97.0,0.0,420946.0,0.0,0.0,7375.0,0.0,2023-03-01,2023,3,1
ABCP11,3/2024,5.394,480281.0,0.0,6.0,7559.0,0.0,465436.0,0.0,344.0,2903.0,477377.0,2.463,7554.0,97.0,0.0,465436.0,0.0,0.0,7286.0,0.0,2024-03-01,2024,3,1
ABCP11,4/2017,5.901,690115.0,0.0,291.0,8469.0,0.0,674020.0,0.0,1021.0,9127.0,680989.0,8.05,8178.0,57.0,0.0,674020.0,0.0,0.0,7626.0,0.0,2017-04-01,2017,4,1
ABCP11,4/2018,6.482,790592.0,0.0,34.0,8196.0,0.0,774051.0,0.0,213.0,5166.0,785426.0,4.887,8162.0,65.0,0.0,774051.0,0.0,0.0,8345.0,0.0,2018-04-01,2018,4,1
ABCP11,4/2019,7.076,912495.0,0.0,5.0,10312.0,0.0,894848.0,0.0,221.0,6959.0,905536.0,6.662,10306.0,75.0,0.0,894848.0,0.0,0.0,7335.0,0.0,2019-04-01,2019,4,1
ABCP11,4/2020,11.213,1046505.0,0.0,5.0,12627.0,0.0,1021481.0,0.0,1244.0,1369.0,1045136.0,37.0,12622.0,87.0,0.0,1021481.0,0.0,0.0,12397.0,0.0,2020-04-01,2020,4,1
ABCP11,4/2021,11.355,1080169.0,0.0,8.0,8156.0,0.0,1056263.0,0.0,1355.0,2126.0,1078043.0,707.0,8148.0,64.0,0.0,1056263.0,0.0,0.0,15750.0,0.0,2021-04-01,2021,4,1
ABCP11,4/2022,15.785,1130586.0,0.0,10.0,20320.0,0.0,1093309.0,0.0,1216.0,9939.0,1120647.0,8.637,20310.0,87.0,0.0,1093309.0,0.0,0.0,16957.0,0.0,2022-04-01,2022,4,1
ABCP11,4/2023,5.803,435894.0,0.0,6.0,6752.0,0.0,420946.0,0.0,1083.0,3615.0,432279.0,2.435,6746.0,97.0,0.0,420946.0,0.0,0.0,8196.0,0.0,2023-04-01,2023,4,1
ABCP11,4/2024,5.449,480339.0,0.0,5.0,7215.0,0.0,465436.0,0.0,358.0,2778.0,477561.0,2.323,7210.0,97.0,0.0,465436.0,0.0,0.0,7688.0,0.0,2024-04-01,2024,4,1
ABCP11,5/2017,6.213,690698.0,0.0,191.0,8819.0,0.0,674020.0,0.0,842.0,9143.0,681555.0,8.244,8628.0,57.0,0.0,674020.0,0.0,0.0,7859.0,0.0,2017-05-01,2017,5,1
ABCP11,5/2018,6.058,790354.0,0.0,123.0,8275.0,0.0,774051.0,0.0,213.0,5485.0,784869.0,5.187,8153.0,85.0,0.0,774051.0,0.0,0.0,8028.0,0.0,2018-05-01,2018,5,1
ABCP11,5/2019,7.174,912946.0,0.0,7.0,10562.0,0.0,894848.0,0.0,282.0,7023.0,905923.0,6.664,10554.0,77.0,0.0,894848.0,0.0,0.0,7536.0,0.0,2019-05-01,2019,5,1
ABCP11,5/2020,12.599,1048132.0,0.0,5.0,12505.0,0.0,1021481.0,0.0,1314.0,1439.0,1046693.0,37.0,12500.0,87.0,0.0,1021481.0,0.0,0.0,14146.0,0.0,2020-05-01,2020,5,1
ABCP11,5/2021,12.506,1084378.0,0.0,9.0,13036.0,0.0,1056263.0,0.0,1304.0,6853.0,1077525.0,5.466,13027.0,84.0,0.0,1056263.0,0.0,0.0,15079.0,0.0,2021-05-01,2021,5,1
ABCP11,5/2022,15.418,1129629.0,0.0,10.0,19594.0,0.0,1093309.0,0.0,1370.0,9381.0,1120248.0,7.924,19584.0,87.0,0.0,1093309.0,0.0,0.0,16726.0,0.0,2022-05-01,2022,5,1
ABCP11,5/2023,5.677,435928.0,0.0,6.0,6123.0,0.0,420946.0,0.0,954.0,3485.0,432444.0,2.433,6118.0,97.0,0.0,420946.0,0.0,0.0,8859.0,0.0,2023-05-01,2023,5,1
ABCP11,5/2024,5.439,480546.0,0.0,5.0,6671.0,0.0,465436.0,0.0,315.0,2733.0,477814.0,2.32,6666.0,97.0,0.0,465436.0,0.0,0.0,8439.0,0.0,2024-05-01,2024,5,1
ABCP11,6/2017,6.075,687345.0,0.0,10.0,5447.0,0.0,674020.0,0.0,664.0,8994.0,678352.0,8.274,5438.0,57.0,0.0,674020.0,0.0,0.0,7878.0,0.0,2017-06-01,2017,6,1
ABCP11,6/2018,8.094,790123.0,0.0,132.0,7949.0,0.0,774051.0,0.0,213.0,8332.0,781790.0,8.034,7816.0,85.0,0.0,774051.0,0.0,0.0,8123.0,0.0,2018-06-01,2018,6,1
ABCP11,6/2019,8.054,914388.0,0.0,6.0,10979.0,0.0,894848.0,0.0,353.0,7819.0,906569.0,7.391,10972.0,75.0,0.0,894848.0,0.0,0.0,8562.0,0.0,2019-06-01,2019,6,1
ABCP11,6/2020,13.175,1047547.0,0.0,6.0,12374.0,0.0,1021481.0,0.0,1271.0,7375.0,1040172.0,6.017,12369.0,87.0,0.0,1021481.0,0.0,0.0,13692.0,0.0,2020-06-01,2020,6,1
ABCP11,6/2021,15.143,1088349.0,0.0,10.0,14837.0,0.0,1056263.0,0.0,1304.0,8319.0,1080030.0,6.932,14827.0,84.0,0.0,1056263.0,0.0,0.0,17249.0,0.0,2021-06-01,2021,6,1
ABCP11,6/2022,14.596,1128685.0,0.0,10.0,19142.0,0.0,1093309.0,0.0,1396.0,8789.0,1119896.0,7.306,19132.0,86.0,0.0,1093309.0,0.0,0.0,16233.0,0.0,2022-06-01,2022,6,1
ABCP11,6/2023,5.345,435622.0,0.0,6.0,6387.0,0.0,420946.0,0.0,921.0,3460.0,432163.0,2.442,6381.0,97.0,0.0,420946.0,0.0,0.0,8290.0,0.0,2023-06-01,2023,6,1
ABCP11,6/2024,5.479,481258.0,0.0,5.0,6391.0,0.0,465617.0,0.0,360.0,2220.0,479039.0,1.763,6386.0,97.0,0.0,465617.0,0.0,0.0,9250.0,0.0,2024-06-01,2024,6,1
ABCP11,7/2017,6.152,687429.0,0.0,10.0,5552.0,0.0,674020.0,0.0,485.0,5206.0,682223.0,4.665,5542.0,57.0,0.0,674020.0,0.0,0.0,7857.0,0.0,2017-07-01,2017,7,1
ABCP11,7/2018,8.147,789709.0,0.0,175.0,7478.0,0.0,774051.0,0.0,213.0,5097.0,784612.0,4.798,7304.0,85.0,0.0,774051.0,0.0,0.0,8180.0,0.0,2018-07-01,2018,7,1
ABCP11,7/2019,10.013,916834.0,0.0,6.0,11716.0,0.0,894848.0,0.0,1547.0,6847.0,909987.0,5.225,11710.0,74.0,0.0,894848.0,0.0,0.0,10271.0,0.0,2019-07-01,2019,7,1
ABCP11,7/2020,11.453,1039826.0,0.0,5.0,6346.0,0.0,1021481.0,0.0,1387.0,1513.0,1038313.0,39.0,6341.0,87.0,0.0,1021481.0,0.0,0.0,11998.0,0.0,2020-07-01,2020,7,1
ABCP11,7/2021,14.71,1087848.0,0.0,11.0,15433.0,0.0,1056263.0,0.0,1497.0,8757.0,1079091.0,7.177,15422.0,83.0,0.0,1056263.0,0.0,0.0,16152.0,0.0,2021-07-01,2021,7,1
ABCP11,7/2022,13.916,1128319.0,0.0,10.0,19392.0,0.0,1093309.0,0.0,1314.0,8589.0,1119730.0,7.181,19383.0,93.0,0.0,1093309.0,0.0,0.0,15618.0,0.0,2022-07-01,2022,7,1
ABCP11,7/2023,5.613,436007.0,0.0,5.0,6599.0,0.0,420946.0,0.0,914.0,3454.0,432553.0,2.443,6593.0,97.0,0.0,420946.0,0.0,0.0,8462.0,0.0,2023-07-01,2023,7,1
ABCP11,7/2024,6.4,483719.0,0.0,5.0,10983.0,0.0,465648.0,0.0,621.0,3753.0,479966.0,3.036,10978.0,97.0,0.0,465648.0,0.0,0.0,7088.0,0.0,2024-07-01,2024,7,1
ABCP11,8/2017,5.987,687636.0,0.0,834.0,6045.0,0.0,674020.0,0.0,307.0,5249.0,682387.0,4.885,5211.0,57.0,0.0,674020.0,0.0,0.0,7571.0,0.0,2017-08-01,2017,8,1
ABCP11,8/2018,8.427,790598.0,0.0,238.0,8086.0,0.0,774051.0,0.0,213.0,5477.0,785121.0,5.2,7847.0,63.0,0.0,774051.0,0.0,0.0,8462.0,0.0,2018-08-01,2018,8,1
ABCP11,8/2019,9.687,917426.0,0.0,5.0,12667.0,0.0,894848.0,0.0,1480.0,7565.0,909861.0,6.008,12662.0,76.0,0.0,894848.0,0.0,0.0,9911.0,0.0,2019-08-01,2019,8,1
ABCP11,8/2020,13.169,1042786.0,0.0,6.0,7814.0,0.0,1021481.0,0.0,1396.0,2864.0,1039922.0,1.381,7808.0,87.0,0.0,1021481.0,0.0,0.0,13491.0,0.0,2020-08-01,2020,8,1
ABCP11,8/2021,15.689,1088117.0,0.0,11.0,14110.0,0.0,1056263.0,0.0,1507.0,7427.0,1080690.0,5.836,14099.0,83.0,0.0,1056263.0,0.0,0.0,17744.0,0.0,2021-08-01,2021,8,1
ABCP11,8/2022,14.126,1128935.0,0.0,10.0,20020.0,0.0,1093309.0,0.0,1448.0,8983.0,1119952.0,7.442,20010.0,93.0,0.0,1093309.0,0.0,0.0,15607.0,0.0,2022-08-01,2022,8,1
ABCP11,8/2023,5.436,436047.0,0.0,6.0,6881.0,0.0,420946.0,0.0,845.0,3386.0,432661.0,2.444,6875.0,97.0,0.0,420946.0,0.0,0.0,8221.0,0.0,2023-08-01,2023,8,1
ABCP11,9/2017,5.978,687748.0,0.0,1.267,6128.0,0.0,674020.0,0.0,213.0,4064.0,683684.0,3.794,4861.0,57.0,0.0,674020.0,0.0,0.0,7600.0,0.0,2017-09-01,2017,9,1
ABCP11,9/2018,8.294,790800.0,0.0,9.0,8269.0,0.0,774051.0,0.0,213.0,5476.0,785324.0,5.201,8260.0,61.0,0.0,774051.0,0.0,0.0,8480.0,0.0,2018-09-01,2018,9,1
ABCP11,9/2019,9.366,917048.0,0.0,6.0,12442.0,0.0,894848.0,0.0,1381.0,7467.0,909580.0,6.009,12436.0,77.0,0.0,894848.0,0.0,0.0,9758.0,0.0,2019-09-01,2019,9,1
ABCP11,9/2020,15.29,1046410.0,0.0,6.0,9491.0,0.0,1021481.0,0.0,1321.0,4427.0,1041983.0,3.019,9485.0,87.0,0.0,1021481.0,0.0,0.0,15438.0,0.0,2020-09-01,2020,9,1
ABCP11,9/2021,15.644,1088913.0,0.0,10.0,14461.0,0.0,1056263.0,0.0,1496.0,7416.0,1081497.0,5.837,14451.0,83.0,0.0,1056263.0,0.0,0.0,18189.0,0.0,2021-09-01,2021,9,1
ABCP11,9/2022,15.8,1130526.0,0.0,10.0,19975.0,0.0,1093309.0,0.0,1641.0,8783.0,1121743.0,7.049,19965.0,93.0,0.0,1093309.0,0.0,0.0,17243.0,0.0,2022-09-01,2022,9,1
ABCP11,9/2023,5.323,435848.0,0.0,6.0,7005.0,0.0,420946.0,0.0,369.0,3382.0,432465.0,2.916,7000.0,97.0,0.0,420946.0,0.0,0.0,7897.0,0.0,2023-09-01,2023,9,1
AFHI11,1/2023,0.0,290735.0,264293.0,0.0,25126.0,1299.0,0.0,0.0,48.0,4184.0,286551.0,3.896,25126.0,239.0,0.0,265592.0,0.0,0.0,17.0,0.0,2023-01-01,2023,1,1
AFHI11,1/2024,0.0,353075.0,320788.0,0.0,31725.0,562.0,0.0,0.0,33.0,312.0,352763.0,0.0,31725.0,279.0,0.0,321350.0,0.0,0.0,0.0,0.0,2024-01-01,2024,1,1
AFHI11,10/2023,0.0,321038.0,296138.0,0.0,24347.0,545.0,0.0,0.0,18.0,288.0,320750.0,0.0,24347.0,270.0,0.0,296683.0,0.0,0.0,8.0,0.0,2023-10-01,2023,10,1
AFHI11,11/2023,0.0,322647.0,306208.0,0.0,11890.0,4545.0,0.0,0.0,21.0,287.0,322360.0,0.0,11890.0,266.0,0.0,310753.0,0.0,0.0,4.0,0.0,2023-11-01,2023,11,1
AFHI11,12/2022,0.0,290105.0,282602.0,0.0,6181.0,1301.0,0.0,0.0,61.0,3332.0,286772.0,3.033,6181.0,237.0,0.0,283903.0,0.0,0.0,21.0,0.0,2022-12-01,2022,12,1
AFHI11,12/2023,0.0,324680.0,308740.0,4.113,15373.0,566.0,0.0,0.0,25.0,3638.0,321042.0,3.343,11260.0,270.0,0.0,309306.0,0.0,0.0,1.0,0.0,2023-12-01,2023,12,1
