Nome,Área,Endereço,Núm. unidades,Vacância,Inadimplência,Share sobre receita,Ticker,Ano,Área (m²)
QUIXERAMOBIM,"20.000,00 m2","Rua Doutor Pinto de Mendonça,S/N-Quixeramobim-CE",1.0,0.0,0.0,0.0,AROA11,2024,20000.0
MARANGUAPE,"21.945,75 m2","Avenida Comandante Aviador Childerico Mora,S/N-Maranguape-CE",1.0,0.0,0.0,0.0,AROA11,2024,21945.75
Edificio Souza Aranha II,"4.757,87 m2","Avenida Alfredo Egidio De Souza Aranha, 145, Edifício Souza Aranha Ii, Vila Cruzeiro, Sao Paulo/SP, Brasil, 04726-170",1.0,0.0,0.0,0.48969999999999997,ASMT11,2024,4757.87
Imovel Porto Alegre,"5.594,12 m2","Avenida Independencia, 565, Imóvel Porto Alegre, Independência, Porto Alegre/RS, Brasil, 00090-035",1.0,0.0,0.0,0.33020000000000005,ASMT11,2024,5594.12
Edificio Souza Aranha I,"2.660,07 m2","Avenida Alfredo Egidio De Souza Aranha, 145, Edifício Souza Aranha I, Vila Cruzeiro, Sao Paulo/SP, Brasil, 04726-170",1.0,0.0,0.0,0.1595,ASMT11,2024,2660.07
Edificio Souza Aranha II,"4.757,87 m2","Avenida Alfredo Egidio De Souza Aranha, 145, Edifício Souza Aranha Ii, Vila Cruzeiro, Sao Paulo/SP, Brasil, 04726-170",1.0,0.0,0.0,0.4886,ASMT11,2023,4757.87
Imovel Porto Alegre,"5.594,12 m2","Avenida Independencia, 565, Imóvel Porto Alegre, Independência, Porto Alegre/RS, Brasil, 00090-035",1.0,0.0,0.0,0.3295,ASMT11,2023,5594.12
Edificio Souza Aranha I,"2.660,07 m2","Avenida Alfredo Egidio De Souza Aranha, 145, Edifício Souza Aranha I, Vila Cruzeiro, Sao Paulo/SP, Brasil, 04726-170",1.0,0.0,0.0,0.1765,ASMT11,2023,2660.07
Edificio Souza Aranha II,"4.757,87 m2","Avenida Alfredo Egidio De Souza Aranha, 145, Edifício Souza Aranha Ii, Vila Cruzeiro, Sao Paulo/SP, Brasil, 04726-170",1.0,0.0,0.0,0.1932,ASMT11,2022,4757.87
Imovel Porto Alegre,"5.594,12 m2","Avenida Independencia, 565, Imóvel Porto Alegre, Independência, Porto Alegre/RS, Brasil, 00090-035",1.0,0.0,0.0,0.1381,ASMT11,2022,5594.12
Edificio Souza Aranha I,"2.660,07 m2","Avenida Alfredo Egidio De Souza Aranha, 145, Edifício Souza Aranha I, Vila Cruzeiro, Sao Paulo/SP, Brasil, 04726-170",1.0,0.0,0.0,0.0697,ASMT11,2022,2660.07
Atrium Shopping Santo André - 100%,"33.203,05 m2","Rua Giovanni Battista Pirelli, 155 - Vila Homero Thon - Santo André - SP",226.0,0.19,0.18,0.9847,ATSA11,2024,33203.05
Atrium Shopping Santo André - 100%,"33.223,44 m2","Rua Giovanni Battista Pirelli, 155 - Vila Homero Thon - Santo André - SP",226.0,0.17,0.21,0.0,ATSA11,2023,33223.44
Atrium Shopping Santo André - 100%,"32.938,45 m2","Rua Giovanni Battista Pirelli, 155 - Vila Homero Thon - Santo André - SP",235.0,0.22,0.26,0.9615,ATSA11,2022,32938.45
Atrium Shopping Santo André - 100%,"32.909,20 m2","Rua Giovanni Battista Pirelli, 155 - Vila Homero Thon - Santo André - SP",233.0,0.21,0.38,0.0,ATSA11,2021,32909.2
Atrium Shopping Santo André - 100%,"32.559,20 m2","Rua Giovanni Battista Pirelli, 155 - Vila Homero Thon - Santo André - SP",234.0,0.19,0.27,0.0,ATSA11,2020,32559.2
Atrium Shopping Santo André - 100%,"32.515,16 m2","Rua Giovanni Battistas Pirelli, 155 - Vila Homero Thon - Santo André - SP",239.0,0.17,0.08,0.9886,ATSA11,2019,32515.16
Atrium Shopping Santo André - 100%,"32.790,20 m2","Rua Giovanni Battista Pirelli, 155 - Vila Homero Thon - Santo André - SP",275.0,0.22,0.1,0.9653,ATSA11,2018,32790.2
MAT - 179.771,"112,91 m2","Rua Princesa Isabel, nº 94, Brooklin Paulista, São Paulo/SP",1.0,0.0,0.0,0.0,BARI11,2024,112.91
MAT - 179.776,"112,91 m2","Rua Princesa Isabel, nº 94, Brooklin Paulista, São Paulo/SP",1.0,0.0,0.0,0.0,BARI11,2024,112.91
Ag. Estilo Joaquim Floriano,"683,97 m2","R. Joaquim Floriano, 666, São Paulo-SP",1.0,0.0,0.0,0.0855,BBRC11,2024,683.97
Ag. Estilo Nova Faria Lima,"601,63 m2","Al. Gabriel Monteiro da Silva, 2032, São Paulo-SP",1.0,0.0,0.0,0.08470000000000001,BBRC11,2024,601.63
