Ticker,Trimestre,Lucro líquido,Outras desp/receitas,Res. imóveis estoque,Res. imóveis renda,Resultado TVM,Resultado financeiro
BARI11,3T2022,8.609,-1.874,-8,0,9.463,1.028
BARI11,3T2023,3.059,-1.532,-7,0,4.080,517
BARI11,4T2019,4.521,-948,0,0,4.743,726
BARI11,4T2022,-12.910,-1.731,-6,0,-11.840,667
BARI11,4T2023,10.709,-1.479,0,25,11.570,593
BBFO11,1T2022,-3.810,-484,0,0,-3.402,76
BBFO11,1T2023,-16.648,-453,0,0,-16.260,65
BBFO11,1T2024,9.302,-486,0,0,9.743,44
BBFO11,2T2022,-645,-974,0,0,139,190
BBFO11,2T2023,18.858,-935,0,0,19.651,142
BBFO11,2T2024,3.909,-1.009,0,0,4.852,66
BBFO11,3T2021,-1.449,-514,0,0,-974,39
BBFO11,3T2023,12.073,-533,0,0,12.539,67
BBFO11,4T2021,12.456,515,0,0,11.858,83
BBFO11,4T2022,8.665,-1.031,0,0,17.383,-7.686
BBFO11,4T2023,19.410,-1.023,0,0,20.323,110
BBGO11,1T2022,9.709,-1.815,0,0,7.273,4.251
BBGO11,1T2023,15.794,-981,0,0,16.400,374
BBGO11,1T2024,10.472,-896,0,0,11.179,189
BBGO11,2T2022,24.544,-3.054,0,0,22.481,5.116
BBGO11,2T2023,30.081,-1.977,0,0,31.383,675
BBGO11,2T2024,20.286,-2.049,0,0,21.559,776
BBGO11,3T2022,5.441,-1.133,0,0,5.794,781
BBGO11,3T2023,10.364,-1.048,0,0,11.072,340
BBGO11,4T2022,13.242,-2.146,0,0,14.143,1.245
BBGO11,4T2023,20.711,-2.009,0,0,22.231,489
BBRC11,1T2017,4.175,-332,0,4.403,0,105
BBRC11,1T2018,2.919,-276,0,3.134,0,61
BBRC11,1T2019,4.654,-268,0,4.897,0,25
BBRC11,1T2020,4.778,-346,0,5.106,0,19
BBRC11,1T2021,3.891,-758,0,4.649,0,0
BBRC11,1T2022,5.170,-410,0,5.445,0,136
BBRC11,1T2023,5.269,-470,0,5.556,0,183
BBRC11,1T2024,5.420,-441,0,5.695,0,166
BBRC11,2T2017,4.235,-302,0,4.448,0,89
BBRC11,2T2018,4.329,-348,0,4.646,0,31
BBRC11,2T2019,6.252,-301,0,6.529,0,23
BBRC11,2T2020,4.357,-746,0,5.089,0,14
BBRC11,2T2021,4.822,-376,0,5.163,0,34
BBRC11,2T2022,4.276,-517,0,4.625,0,168
BBRC11,2T2023,5.322,-554,0,5.689,0,187
BBRC11,2T2024,5.523,-365,0,5.724,0,164
BBRC11,3T2017,4.265,-288,0,4.471,0,81
BBRC11,3T2018,4.535,-335,0,4.837,0,33
BBRC11,3T2019,4.610,-361,0,4.947,0,24
BBRC11,3T2020,4.142,-434,0,4.569,0,7
BBRC11,3T2021,4.891,-418,0,5.244,0,64
BBRC11,3T2022,4.756,-470,0,5.044,0,182
BBRC11,3T2023,3.783,-454,0,4.045,0,192
BBRC11,4T2017,2.919,-276,0,3.134,0,61
BBRC11,4T2018,10.251,-1.012,0,11.166,0,97
BBRC11,4T2019,15.938,-387,0,16.303,0,22
BBRC11,4T2020,9.388,-226,0,9.606,0,8
BBRC11,4T2021,-5.189,6,0,-5.304,0,109
BBRC11,4T2022,6.081,-642,0,6.545,0,178
BBRC11,4T2023,-1.920,-493,0,-1.609,0,183
BCFF11,1T2017,33.033,-1.431,0,0,34.191,273
BCFF11,1T2018,27.309,-1.849,0,0,28.845,312
BCFF11,1T2019,43.277,-2.468,0,0,44.234,1.510
BCFF11,1T2020,-262.930,-5.670,0,0,-258.905,1.646
BCFF11,1T2021,-6.123,-6.374,0,0,-118,369
BCFF11,1T2022,24.281,-6.697,0,0,29.728,1.250
BCFF11,1T2023,-31.354,-6.286,0,0,-28.755,3.687
BCFF11,1T2024,1.317,-6.722,0,0,6.496,1.543
BCFF11,2T2017,37.957,-3.055,0,0,39.605,1.407
BCFF11,2T2018,-41.826,-1.924,0,0,-40.114,212
BCFF11,2T2019,27.205,-2.868,0,0,28.960,1.113
BCFF11,2T2021,1.429,-7.026,0,0,6.668,1.787
BCFF11,2T2022,9.887,-6.680,0,0,13.739,2.829
BCFF11,2T2024,-14.761,-6.674,0,0,-9.615,1.528
BCFF11,3T2017,20.076,-2.298,0,0,21.683,692
BCFF11,3T2018,4.705,-1.691,0,0,6.190,206
BCFF11,3T2019,24.527,-2.584,0,0,26.102,1.009
