Ticker,Trimestre,% despesas,% em caixa,Div. Yield,Inadimplência,Negócios/dia,P/VP,Patrimônio,Qnt. cotas,Qnt. cotistas,VP por cota,Vacância,Valor merc.,Volume diário
RECT11,3T2021,"1,27%","8,14%","16,00%",0%,1.526,"0,73","759,13 M","8,2 M",80.239,"92,81",38%,"555,21 M","1,29 M"
RECT11,3T2022,"0,31%","1,88%","13,47%",0%,1.468,"0,64","815,41 M","8,5 M",79.294,"95,44",7%,"524,49 M","699,54 K"
RECT11,3T2023,"0,33%","0,20%","14,23%",0%,1.163,"0,49","790,62 M","8,5 M",71.266,"92,54",5%,"384,37 M","489,05 K"
RECT11,4T2020,"1,95%","6,83%","25,98%",0%,1.968,"1,01","669,17 M","7,0 M",55.937,"95,95",11%,"677,86 M","2,58 M"
RECT11,4T2021,"1,63%","5,65%","13,45%",0%,1.340,"0,80","753,33 M","8,2 M",79.976,"92,10",0%,"601,26 M","890,89 K"
RECT11,4T2022,"0,39%","2,40%","14,70%",0%,1.390,"0,58","800,34 M","8,5 M",78.094,"93,68",7%,"460,41 M","586,93 K"
RECT11,4T2023,"0,31%","0,28%","12,41%",0%,1.014,"0,52","786,59 M","8,5 M",68.448,"92,07",5%,"406,16 M","391,98 K"
RECX11,1T2021,"0,17%","14,52%","0,00%",0%,3,"1,05","18,95 M","198,2 K",318,"95,65",0%,"19,99 M","909,00"
RECX11,1T2022,"0,41%","0,38%","21,21%",0%,9,"1,00","18,91 M","218,3 K",521,"86,62",0%,"18,99 M","6,60 K"
RECX11,1T2023,"0,47%","0,82%","15,79%",0%,10,"0,89","15,70 M","218,3 K",671,"71,89",0%,"13,91 M","7,90 K"
RECX11,1T2024,"0,42%","1,44%","10,61%",0%,14,"0,87","16,79 M","218,3 K",653,"76,89",0%,"14,63 M","24,31 K"
RECX11,2T2022,"1,45%","0,40%","23,49%",0%,16,"0,95","18,44 M","218,3 K",576,"84,48",0%,"17,46 M","12,67 K"
RECX11,2T2024,"0,49%","1,67%","10,60%",0%,7,"0,90","15,97 M","218,3 K",628,"73,15",0%,"14,41 M","8,52 K"
RECX11,3T2021,"1,25%","6,04%","6,47%",0%,10,"1,08","17,48 M","198,2 K",432,"88,20",0%,"18,82 M","15,91 K"
RECX11,3T2022,"0,41%","2,52%","22,90%",0%,12,"0,94","17,79 M","218,3 K",631,"81,48",0%,"16,72 M","14,97 K"
RECX11,3T2023,"0,43%","0,30%","12,29%",0%,16,"0,91","16,42 M","218,3 K",676,"75,20",0%,"14,94 M","11,38 K"
RECX11,4T2021,"-0,25%","1,85%","14,40%",0%,13,"0,97","19,43 M","218,3 K",475,"88,99",0%,"18,77 M","12,38 K"
RECX11,4T2022,"0,44%","0,59%","19,65%",0%,14,"0,91","17,06 M","218,3 K",683,"78,14",0%,"15,48 M","11,84 K"
RECX11,4T2023,"0,43%","0,68%","11,09%",0%,9,"0,90","16,46 M","218,3 K",649,"75,38",0%,"14,79 M","9,88 K"
RELG11,1T2021,"0,52%","0,52%","3,12%",0%,108,"1,03","89,58 M","931,3 K",2.317,"96,19",8%,"92,10 M","153,41 K"
RELG11,1T2023,"0,29%","0,58%","14,80%",0%,162,"0,52","162,82 M","1,3 M",7.506,"122,00",9%,"85,37 M","77,85 K"
RELG11,1T2024,"0,33%","0,30%","0,56%",0%,170,"0,40","168,35 M","1,3 M",5.742,"126,15",8%,"66,65 M","229,32 K"
RELG11,2T2021,"0,68%","31,12%","8,35%",0%,197,"0,95","128,73 M","1,3 M",3.724,"96,46",8%,"122,91 M","231,19 K"
RELG11,2T2023,"0,31%","0,18%","11,24%",0%,547,"0,50","164,55 M","1,3 M",7.170,"123,30",20%,"81,61 M","208,39 K"
RELG11,2T2024,"0,35%","0,36%","0,61%",0%,306,"0,45","169,06 M","1,3 M",5.222,"126,68",8%,"75,92 M","330,60 K"
RELG11,3T2021,"0,36%","0,13%","15,05%",0%,808,"0,91","127,91 M","1,3 M",4.058,"95,84",4%,"116,60 M","208,07 K"
RELG11,3T2022,"1,81%","2,04%","12,55%",0%,408,"0,71","158,62 M","1,3 M",7.725,"118,86",7%,"112,10 M","212,10 K"
RELG11,3T2023,"0,38%","0,51%","7,76%",0%,133,"0,43","165,59 M","1,3 M",6.522,"124,08",0%,"70,95 M","133,12 K"
RELG11,4T2022,"0,51%","3,36%","13,38%",0%,437,"0,60","162,95 M","1,3 M",7.635,"122,10",10%,"97,46 M","215,21 K"
RELG11,4T2023,"0,48%","0,83%","4,63%",0%,119,"0,38","167,88 M","1,3 M",6.074,"125,79",10%,"64,06 M","92,05 K"
RFOF11,1T2020,"0,16%","44,07%","0,38%",0%,46,"0,81","95,92 M","1,1 M",2.195,"88,97",0%,"77,63 M","113,23 K"
RFOF11,1T2021,"0,40%","0,91%","9,75%",0%,350,"0,93","100,64 M","1,1 M",3.029,"93,34",0%,"93,47 M","312,12 K"
RFOF11,1T2022,"0,33%","1,60%","13,94%",0%,226,"0,87","90,14 M","1,1 M",6.543,"83,60",0%,"78,11 M","159,58 K"
RFOF11,1T2023,"0,25%","1,76%","14,76%",0%,122,"0,88","81,60 M","1,1 M",5.139,"75,68",0%,"72,22 M","73,06 K"
RFOF11,1T2024,"0,51%","7,25%","11,62%",0%,103,"0,97","87,38 M","1,1 M",5.139,"81,05",0%,"85,17 M","91,71 K"
RFOF11,2T2021,"0,41%","1,85%","11,98%",0%,369,"0,92","96,13 M","1,1 M",4.102,"89,16",0%,"88,85 M","299,99 K"
RFOF11,2T2022,"0,28%","1,10%","14,15%",0%,192,"0,86","88,57 M","1,1 M",6.179,"82,14",0%,"76,39 M","146,56 K"
RFOF11,2T2023,"2,60%","2,15%","12,67%",0%,102,"0,92","89,20 M","1,1 M",5.032,"82,73",0%,"82,29 M","81,85 K"
