Nome,CNPJ,Emissão,Série,Valor,Ticker,Ano
TRUE SECURITIZADORA S.A.,12.130.744/0001-00,320,1,"43.256.760,13",MCHY11,2024
VIRGO COMPANHIA DE SECURITIZACAO,08.769.451/0001-08,4,42,"36.844.167,07",MCHY11,2024
OPEA SECURITIZADORA S.A.,02.773.542/0001-22,1,224,"35.003.326,24",MCHY11,2024
VIRGO COMPANHIA DE SECURITIZACAO,08.769.451/0001-08,4,22,"30.838.065,93",MCHY11,2024
TRUE SECURITIZADORA S.A.,12.130.744/0001-00,1,144,"21.840.150,29",MCHY11,2024
TRUE SECURITIZADORA S.A.,12.130.744/0001-00,318,3,"18.555.443,19",MCHY11,2024
TRUE SECURITIZADORA S.A.,12.130.744/0001-00,319,3,"18.555.443,19",MCHY11,2024
TRUE SECURITIZADORA S.A.,12.130.744/0001-00,320,3,"18.552.434,37",MCHY11,2024
TRUE SECURITIZADORA S.A.,12.130.744/0001-00,1,375,"16.945.305,55",MCHY11,2024
TRUE SECURITIZADORA S.A.,12.130.744/0001-00,1,272,"15.845.826,89",MCHY11,2024
TRUE SECURITIZADORA S.A.,12.130.744/0001-00,1,377,"13.806.489,73",MCHY11,2024
HABITASEC SECURITIZADORA S.A.,09.304.427/0001-58,1,179,"11.197.437,14",MCHY11,2024
TRUE SECURITIZADORA S.A.,12.130.744/0001-00,1,312,"9.581.174,78",MCHY11,2024
OPEA SECURITIZADORA S.A.,02.773.542/0001-22,1,415,"4.070.681,18",MCHY11,2024
TRUE SECURITIZADORA S.A.,12.130.744/0001-00,1,143,"1.927.565,67",MCHY11,2024
TRUE SECURITIZADORA S.A.,12.130.744/0001-00,1,314,"1.651.746,04",MCHY11,2024
VIRGO COMPANHIA DE SECURITIZACAO,08.769.451/0001-08,4,19,"46.251.059,56",MCHY11,2023
VIRGO COMPANHIA DE SECURITIZACAO,08.769.451/0001-08,4,42,"37.671.904,82",MCHY11,2023
TRUE SECURITIZADORA S.A.,12.130.744/0001-00,1,144,"22.354.703,63",MCHY11,2023
VIRGO COMPANHIA DE SECURITIZACAO,08.769.451/0001-08,4,22,"19.873.680,65",MCHY11,2023
TRUE SECURITIZADORA S.A.,12.130.744/0001-00,1,375,"15.457.592,63",MCHY11,2023
TRUE SECURITIZADORA S.A.,12.130.744/0001-00,1,272,"13.839.675,78",MCHY11,2023
HABITASEC SECURITIZADORA S.A.,09.304.427/0001-58,1,179,"11.677.870,13",MCHY11,2023
TRUE SECURITIZADORA S.A.,12.130.744/0001-00,1,377,"11.162.512,33",MCHY11,2023
TRUE SECURITIZADORA S.A.,12.130.744/0001-00,1,312,"11.116.696,41",MCHY11,2023
TRUE SECURITIZADORA S.A.,12.130.744/0001-00,1,143,"3.819.553,39",MCHY11,2023
TRUE SECURITIZADORA S.A.,12.130.744/0001-00,1,314,"2.062.440,77",MCHY11,2023
VIRGO COMPANHIA DE SECURITIZACAO,08.769.451/0001-08,11/12/2017,19,"49.466.170,16",MCHY11,2022
VIRGO COMPANHIA DE SECURITIZACAO,08.769.451/0001-08,19/07/2019,42,"41.605.435,97",MCHY11,2022
TRUE SECURITIZADORA S.A.,12.130.744/0001-00,29/06/2018,144,"21.404.936,84",MCHY11,2022
VIRGO COMPANHIA DE SECURITIZACAO,08.769.451/0001-08,25/06/2018,22,"21.204.877,52",MCHY11,2022
TRUE SECURITIZADORA S.A.,12.130.744/0001-00,12/03/2021,375,"15.579.951,76",MCHY11,2022
TRUE SECURITIZADORA S.A.,12.130.744/0001-00,28/02/2020,272,"12.098.276,33",MCHY11,2022
HABITASEC SECURITIZADORA S.A.,09.304.427/0001-58,29/11/2019,179,"11.729.877,84",MCHY11,2022
TRUE SECURITIZADORA S.A.,12.130.744/0001-00,28/08/2020,312,"11.560.125,05",MCHY11,2022
TRUE SECURITIZADORA S.A.,12.130.744/0001-00,12/04/2021,377,"9.367.230,20",MCHY11,2022
TRUE SECURITIZADORA S.A.,12.130.744/0001-00,29/06/2018,143,"6.703.991,84",MCHY11,2022
TRUE SECURITIZADORA S.A.,12.130.744/0001-00,28/08/2020,314,"3.847.033,06",MCHY11,2022
VIRGO COMPANHIA DE SECURITIZACAO,08.769.451/0001-08,11/12/2017,19,"52.879.308,98",MCHY11,2021
VIRGO COMPANHIA DE SECURITIZACAO,08.769.451/0001-08,19/07/2019,42,"44.140.798,10",MCHY11,2021
VIRGO COMPANHIA DE SECURITIZACAO,08.769.451/0001-08,25/06/2018,22,"37.734.016,32",MCHY11,2021
TRUE SECURITIZADORA S.A.,12.130.744/0001-00,29/06/2018,144,"18.214.719,74",MCHY11,2021
TRUE SECURITIZADORA S.A.,12.130.744/0001-00,12/03/2021,375,"14.522.391,26",MCHY11,2021
HABITASEC SECURITIZADORA S.A.,09.304.427/0001-58,29/11/2019,179,"13.604.963,80",MCHY11,2021
TRUE SECURITIZADORA S.A.,12.130.744/0001-00,28/02/2020,272,"11.352.431,17",MCHY11,2021
TRUE SECURITIZADORA S.A.,12.130.744/0001-00,28/08/2020,312,"9.700.634,35",MCHY11,2021
TRUE SECURITIZADORA S.A.,12.130.744/0001-00,28/08/2020,314,"9.184.187,31",MCHY11,2021
TRUE SECURITIZADORA S.A.,12.130.744/0001-00,12/04/2021,377,"8.411.709,48",MCHY11,2021
PLANETA SECURITIZADORA SA,07.587.384/0001-30,4,128,"12.163.294,02",MGHT11,2024
OPEA SECURITIZADORA S.A.,02.773.542/0001-22,4,163,"10.122.240,45",MGHT11,2024
PLANETA SECURITIZADORA SA,07.587.384/0001-30,4,143,"5.764.859,23",MGHT11,2024
OPEA SECURITIZADORA S.A.,02.773.542/0001-22,4,211,"2.210.677,12",MGHT11,2024
PLANETA SECURITIZADORA SA,07.587.384/0001-30,4,165,"50.010,54",MGHT11,2024
PLANETA SECURITIZADORA SA,07.587.384/0001-30,4,144,"50.007,52",MGHT11,2024
PLANETA SECURITIZADORA SA,07.587.384/0001-30,4,129,"50.000,00",MGHT11,2024
PLANETA SECURITIZADORA SA,07.587.384/0001-30,4,216,"50.000,00",MGHT11,2024
PLANETA SECURITIZADORA SA,07.587.384/0001-30,4,128,"25.187.995,43",MGHT11,2023
OPEA SECURITIZADORA S.A.,02.773.542/0001-22,4,163,"19.173.077,15",MGHT11,2023
PLANETA SECURITIZADORA SA,07.587.384/0001-30,4,143,"11.961.079,77",MGHT11,2023
OPEA SECURITIZADORA S.A.,02.773.542/0001-22,4,211,"4.570.218,49",MGHT11,2023
PLANETA SECURITIZADORA SA,07.587.384/0001-30,4,165,"100.021,08",MGHT11,2023
PLANETA SECURITIZADORA SA,07.587.384/0001-30,4,144,"100.015,03",MGHT11,2023
PLANETA SECURITIZADORA SA,07.587.384/0001-30,4,129,"100.000,00",MGHT11,2023
PLANETA SECURITIZADORA SA,07.587.384/0001-30,4,216,"100.000,00",MGHT11,2023
PLANETA SECURITIZADORA SA,07.587.384/0001-30,25/11/2019,128,"24.725.918,68",MGHT11,2022
PLANETA SECURITIZADORA SA NOVO,07.587.384/0001-30,03/12/2020,163,"18.920.296,08",MGHT11,2022
PLANETA SECURITIZADORA SA,07.587.384/0001-30,27/07/2020,143,"11.559.121,79",MGHT11,2022
PLANETA SECURITIZADORA SA NOVO,07.587.384/0001-30,24/11/2021,211,"4.428.624,95",MGHT11,2022
PLANETA SECURITIZADORA SA NOVO,07.587.384/0001-30,03/12/2020,165,"100.021,08",MGHT11,2022
PLANETA SECURITIZADORA SA NOVO,07.587.384/0001-30,27/07/2020,144,"100.015,03",MGHT11,2022
PLANETA SECURITIZADORA SA,07.587.384/0001-30,24/11/2021,216,"100.000,00",MGHT11,2022
PLANETA SECURITIZADORA SA NOVO,07.587.384/0001-30,25/11/2019,129,"100.000,00",MGHT11,2022
PLANETA SECURITIZADORA SA NOVO,07.587.384/0001-30,25/11/2019,128,"28.184.181,93",MGHT11,2021
PLANETA SECURITIZADORA SA NOVO,07.587.384/0001-30,03/12/2020,163,"21.368.139,24",MGHT11,2021
PLANETA SECURITIZADORA SA NOVO,07.587.384/0001-30,27/07/2020,143,"12.072.132,72",MGHT11,2021
PLANETA SECURITIZADORA SA NOVO,07.587.384/0001-30,03/12/2020,164,"10.463.224,01",MGHT11,2021
PLANETA SECURITIZADORA SA NOVO,07.587.384/0001-30,24/11/2021,211,"4.505.225,66",MGHT11,2021
PLANETA SECURITIZADORA SA NOVO,07.587.384/0001-30,25/11/2019,129,"100.002,03",MGHT11,2021
PLANETA SECURITIZADORA SA NOVO,07.587.384/0001-30,27/07/2020,144,"100.001,30",MGHT11,2021
PLANETA SECURITIZADORA SA NOVO,07.587.384/0001-30,03/12/2020,165,"100.001,03",MGHT11,2021
PLANETA SECURITIZADORA SA NOVO,07.587.384/0001-30,24/11/2021,216,"100.000,08",MGHT11,2021
GAIA SECURITIZADORA S.A. NOVO,07.587.384/0001-30,25/11/2019,129,"39.310.141,91",MGHT11,2020
GAIA SECURITIZADORA S.A. NOVO,07.587.384/0001-30,27/07/2020,,"10.868.360,00",MGHT11,2020
GAIA SECURITIZADORA S.A. NOVO,07.587.384/0001-30,12/03/2020,,"4.630.336,96",MGHT11,2020
GAIA SECURITIZADORA S.A. NOVO,07.587.384/0001-30,25/11/2019,,"100.002,03",MGHT11,2020
GAIA SECURITIZADORA S.A. NOVO,07.587.384/0001-30,27/07/2020,,"100.000,31",MGHT11,2020
GAIA SECURITIZADORA S.A. NOVO,07.587.384/0001-30,12/03/2020,128,"100.000,03",MGHT11,2020
BARI SECURITIZADORA S.A.,10.608.405/0001-60,1,99,"14.334.136,29",MORC11,2023
TRUE SECURITIZADORA S.A.,12.130.744/0001-00,37,1,"13.806.927,32",MORC11,2023
OPEA SECURITIZADORA S.A.,02.773.542/0001-22,172,1,"13.738.048,73",MORC11,2023
OURINVEST SECURITIZADORA SA,12.320.349/0001-90,1,43,"13.706.319,85",MORC11,2023
VERT COMPANHIA SECURITIZADORA,25.005.683/0001-09,60,1,"13.386.815,19",MORC11,2023
COMPANHIA PROVINCIA DE SECURITIZACAO DE CREDITOS I,04.200.649/0001-07,5,1,"9.764.738,23",MORC11,2023
VIRGO COMPANHIA DE SECURITIZACAO,08.769.451/0001-08,24,1,"9.524.979,61",MORC11,2023
HABITASEC SECURITIZADORA S.A.,09.304.427/0001-58,18,2,"9.328.318,59",MORC11,2023
VIRGO COMPANHIA DE SECURITIZACAO,08.769.451/0001-08,14,1,"9.216.433,83",MORC11,2023
TRUE SECURITIZADORA S.A.,12.130.744/0001-00,1,433,"9.174.848,78",MORC11,2023
VIRGO COMPANHIA DE SECURITIZACAO,08.769.451/0001-08,23,1,"7.107.116,94",MORC11,2023
REIT SECURITIZADORA S.A.,13.349.677/0001-81,2,22,"5.696.799,82",MORC11,2023
HABITASEC SECURITIZADORA S.A.,09.304.427/0001-58,1,313,"5.298.152,66",MORC11,2023
HABITASEC SECURITIZADORA S.A.,09.304.427/0001-58,1,240,"5.244.559,43",MORC11,2023
BARI SECURITIZADORA S.A.,10.608.405/0001-60,1,97,"4.716.295,60",MORC11,2023
VIRGO COMPANHIA DE SECURITIZACAO,08.769.451/0001-08,4,320,"4.656.950,55",MORC11,2023
