Nome,Área,Endereço,Núm. unidades,Vacância,Inadimplência,Share sobre receita,Ticker,Ano,Papel,Nome do fundo,CNPJ,Valor,Emissão,Série
Galpão Jundiaí,"100.028,00 m2","Av. Francisco Roveri, 361, Jundiaí, São Paulo, 13212541",1,"0,00%","0,00%","0,00%",BTLG11,2020,,,,,,
Galpão Industrial Ceratti,"13.851,22 m2","Rodovia Miguel Melhado Campos km 79, Vinhedo, SP, 13288-003",1,"0,00%","0,00%","24,19%",BTLG11,2019,,,,,,
Galpão Industrail Femsa,"19.414,36 m2","Rua Sargento Rodoval Cabral Trindade 780, São Paulo, SP, 02402-003",1,"0,00%","0,00%","20,18%",BTLG11,2019,,,,,,
Galpão Industrial Magna,"10.439,22 m2","Rodovia Miguel Melhado Campos km 79, Vinhedo, SP, 13288-003",1,"0,00%","0,00%","19,06%",BTLG11,2019,,,,,,
Galpão Industrial Itambé,"8.101,00 m2","Rua Jerônimo Teles Junior 54, Pirituba, SP, 04154-010",1,"0,00%","0,00%","18,59%",BTLG11,2019,,,,,,
Galpão Industrial Supermarket,"14.922,28 m2","Estrada Rio D Ouro 800, Pavuna, RJ, 21535-030",1,"0,00%","0,00%","12,29%",BTLG11,2019,,,,,,
Galpão Industrail Koch,"9.793,66 m2","Rodovia BR 470 km 3,5, Navegantes, SC, 88371-240",1,"0,00%","0,00%","4,11%",BTLG11,2019,,,,,,
Fazenda Cachoeirinha - Rui Prado,"149.900,00 m2","Rodovia Br 364, Km 888, Campo Novo Do Parecis/MT, Brasil, 78360-000",1,"0,00%","0,00%","26,65%",BTRA11,2024,,,,,,
Fazenda Sorriso - Hendges,"17.120.000,00 m2","Area Rural, Sn, Sao Desiderio/BA, Brasil, 47820-000",1,"0,00%","0,00%","20,35%",BTRA11,2024,,,,,,
Fazenda Vianmancel - Milton Cella,"31.480.000,00 m2","Area Rural, Sn, Nova Maringa/MT, Brasil, 78445-000",1,"0,00%","0,00%","0,00%",BTRA11,2024,,,,,,
Fazenda Colibri - Bergamasco,"4.000.000,00 m2","Zona Rural, S/n, Zona Rural, Nova Mutum/MT, Brasil, 78450-000",1,"100,00%","0,00%","0,00%",BTRA11,2024,,,,,,
Fazenda Tres Irmaos - Bergamasco,"17.150.000,00 m2","Zona Rural, S/n, Zona Rural, Tapurah/MT, Brasil, 78573-000",1,"100,00%","0,00%","0,00%",BTRA11,2024,,,,,,
Fazenda JR,"16.730,00 m2","Zona Rural, S/n, Zona Rural, Campo Verde/MT, Brasil, 78840-000",1,"100,00%","0,00%","0,00%",BTRA11,2024,,,,,,
Fazenda Tres Irmaos,"17.150.000,00 m2","Zona Rural, Tapurah/MT, Brasil, 78573-000",1,"0,00%","0,00%","8,78%",BTRA11,2023,,,,,,
Fazenda Cachoeirinha - Rui Prado,"149.900,00 m2","Rodovia Br 364, Km 888, Campo Novo Do Parecis/MT, Brasil, 78360-000",1,"0,00%","0,00%","5,00%",BTRA11,2023,,,,,,
