Ticker,Periodo,Aluguéis,Ativo total,CRIs,Caixa,Disponibilidades,FIIs,Imóveis,Outros,Outros val. pagar,Passivo total,Patrimônio líquido,Rend. a distribuir,Renda fixa,Taxa administração,Taxa performance,Total investido,Títulos privados,Títulos públicos,Valores a receber,Venda de imóveis
ABCP11,5/2017,6.213,690.698,0,191,8.819,0,674.020,0,842,9.143,681.555,8.244,8.628,57,0,674.020,0,0,7.859,0
ABCP11,5/2018,6.058,790.354,0,123,8.275,0,774.051,0,213,5.485,784.869,5.187,8.153,85,0,774.051,0,0,8.028,0
ABCP11,5/2019,7.174,912.946,0,7,10.562,0,894.848,0,282,7.023,905.923,6.664,10.554,77,0,894.848,0,0,7.536,0
ABCP11,5/2020,12.599,1.048.132,0,5,12.505,0,1.021.481,0,1.314,1.439,1.046.693,37,12.500,87,0,1.021.481,0,0,14.146,0
ABCP11,5/2021,12.506,1.084.378,0,9,13.036,0,1.056.263,0,1.304,6.853,1.077.525,5.466,13.027,84,0,1.056.263,0,0,15.079,0
ABCP11,5/2022,15.418,1.129.629,0,10,19.594,0,1.093.309,0,1.370,9.381,1.120.248,7.924,19.584,87,0,1.093.309,0,0,16.726,0
ABCP11,5/2023,5.677,435.928,0,6,6.123,0,420.946,0,954,3.485,432.444,2.433,6.118,97,0,420.946,0,0,8.859,0
ABCP11,5/2024,5.439,480.546,0,5,6.671,0,465.436,0,315,2.733,477.814,2.320,6.666,97,0,465.436,0,0,8.439,0
ABCP11,6/2017,6.075,687.345,0,10,5.447,0,674.020,0,664,8.994,678.352,8.274,5.438,57,0,674.020,0,0,7.878,0
ABCP11,6/2018,8.094,790.123,0,132,7.949,0,774.051,0,213,8.332,781.790,8.034,7.816,85,0,774.051,0,0,8.123,0
ABCP11,6/2019,8.054,914.388,0,6,10.979,0,894.848,0,353,7.819,906.569,7.391,10.972,75,0,894.848,0,0,8.562,0
ABCP11,6/2020,13.175,1.047.547,0,6,12.374,0,1.021.481,0,1.271,7.375,1.040.172,6.017,12.369,87,0,1.021.481,0,0,13.692,0
ABCP11,6/2021,15.143,1.088.349,0,10,14.837,0,1.056.263,0,1.304,8.319,1.080.030,6.932,14.827,84,0,1.056.263,0,0,17.249,0
ABCP11,6/2022,14.596,1.128.685,0,10,19.142,0,1.093.309,0,1.396,8.789,1.119.896,7.306,19.132,86,0,1.093.309,0,0,16.233,0
ABCP11,6/2023,5.345,435.622,0,6,6.387,0,420.946,0,921,3.460,432.163,2.442,6.381,97,0,420.946,0,0,8.290,0
ABCP11,6/2024,5.479,481.258,0,5,6.391,0,465.617,0,360,2.220,479.039,1.763,6.386,97,0,465.617,0,0,9.250,0
