Ticker,Title,Endereço,Bairro,Cidade,Área Bruta Locável
BBPO11,SUPER VAR E GOV MT,Rua Felinto Muller,,2104/Pres.Jose Linhares - MT,"3.347,98 m2"
BBPO11,AG. TIJUCA,Rua Conde de Bonfim,Tijuca,Rio de Janeiro - RJ,"1.291,87 m2"
BBPO11,AG LEBLON,Avenida Bartolomeu Mitre,,Rio de Janeiro - RJ,"1.373,42 m2"
BBPO11,AG. PONTA GROSSA,Rua Augusto Ribas,Centro,Ponta Grossa - PR,"7.562,77 m2"
BBPO11,AG. TAMOIOS BH,"Rua Tamoios,731/Rua Guarani",,"Rua Tamoios,731/Rua Guarani - MG","14.829,70 m2"
BBPO11,AG. CINELANDIA,Avenida Treze de Maio,Centro,Rio de Janeiro - RJ,"1.834,12 m2"
BBPO11,AG. FREGUESIA DO O,Avenida Santa Marina,Barra Funda,São Paulo - SP,"2.259,00 m2"
BBPO11,CSL SAO PAULO,Rua Líbero Badaró,Centro,São Paulo - SP,"29.550,10 m2"
BBPO11,AG. ANA ROSA,Rua Domingos de Moraes,,Presidente Prudente - SP,"1.688,50 m2"
BBPO11,CSL BELO HORIZONTE,Rua da Bahia,,Belo Horizonte - MG,"14.176,09 m2"
BBPO11,AG. PINHEIROS,Rua dos Pinheiros,Pinheiros,São Paulo - SP,"2.375,04 m2"
BBPO11,AG. MARINGA,AV.Duque de Caxias,,,"7.623,36 m2"
BBPO11,AG. FLORIANOPOLIS,Praça XV de Novembro,,,"6.788,73 m2"
BBPO11,AG. IPIRANGA-SP,Rua Bom Pastor,Ipiranga,São Paulo - SP,"7.007,05 m2"
BBPO11,AG. TOLEDO,Rua 7 de Setembro,,,"4.696,00 m2"
BBPO11,AG. SANTO AMARO PAULISTA,"Rua Paulo Eiro,471/Praça Floriano Peixoto",Santo Amaro,São Paulo - SP,"4.879,82 m2"
BBPO11,AG. ARACATUBA,Praça Rui Barbosa,,,"6.070,59 m2"
BBPO11,AG. BROOKLIN PAULISTA,Rua Joaquim Nabuco,,,"1.843,34 m2"
BBPO11,SUPER VAR E GOV RS,Rua Honório Silveira Dias,São João,Porto Alegre - RS,"4.280,00 m2"
BBPO11,AG. BAIRRO BOM RETIRO,Rua Júlio Conceição,Encruzilhada,Santos - SP,"2.962,72 m2"
BBPO11,AG. MOEMA,Alameda dos Jurupis,Moema,São Paulo - SP,"2.353,66 m2"
BBPO11,ED. SEDE III,Sres Quadra 7 Bloco E,Cruzeiro,Cruzeiro - DF,"46.054,40 m2"
BBPO11,AG. JACAREPAGUA,Avenida Geremário Dantas,,Rio de Janeiro - RJ,"1.300,96 m2"
BBPO11,CSL CURITIBA,"Pr.Tiradentes,410/Al.Dr. Muricy,760/Rua Candido Lop",,,"14.619,73 m2"
BBPO11,AG. PENHA FRANCA,Avenida Penha de França,Penha,São Paulo - SP,"2.312,10 m2"
BBPO11,AG. NITEROI (RJ),Avenida Ernani do Amaral Peixoto,Centro,Niterói - RJ,"4.431,34 m2"
BBPO11,CSL BRASILIA,Avenida Goiás,Jataí,Jataí - GO,"11.133,35 m2"
BBPO11,AG. SAO JOSE DOS CAMPOS,Rua Nelson d'Avila,Eugênio de Melo,São José dos Campos - SP,"6.501,15 m2"
BBPO11,AG. VILA CARRAO (SP),Avenida Conselheiro Carrão,Carrão,São Paulo - SP,"2.538,15 m2"
BBPO11,PSO PIRACICABA,Praça José Bonifácio,,,"5.122,37 m2"
BBPO11,AG. BRAS,Avenida Rangel Pestana,Sé,São Paulo - SP,"4.247,00 m2"
BBPO11,AG.BELEM-CENTRO(PA),Av. Pres. Vargas,,,"10.514,51 m2"
BBPO11,SAO CAETANO DO SUL,Praça Cardeal Arcoverde,Centro,São Caetano do Sul - SP,"3.733,00 m2"
BBPO11,AG. PRACA DA ARVORE,Avenida Jabaquara,Saúde,São Paulo - SP,"2.312,10 m2"
BBPO11,AG. PARAISO,Avenida Bernardino de Campos,,São Paulo - SP,"1.447,47 m2"
BBPO11,AG. ASA NORTE 504,SEPN 504 Bloco F,Asa Norte,Brasília - DF,"4.593,67 m2"
BBPO11,AG. SAO JOSE RIO PRETO SP,Rua Voluntários de São Paulo,Centro,São José do Rio Preto - SP,"3.042,94 m2"
BBPO11,AG. NOSSA SENHORA LAPA,Rua Nossa Senhora da Lapa,Lapa,São Paulo - SP,"3.878,31 m2"
BBPO11,AG.BELO HORIZONTE,Rua Rio de Janeiro,,,"18.909,00 m2"
BBPO11,AG. CAMPOS ELISEOS,Avenida Rio Branco,,São Paulo - SP,"5.991,07 m2"
